DATE,CODE INSEE,REGION,PRODUCTION,POMPAGE,ECHANGE,CONSOMMATION
2017-11,44,Grand-Est,8932035,81446,4516205,4334385
2017-11,93,Provence-Alpes-Côte d'Azur,2222678,3273,-1454214,3673619
2017-12,11,Ile-de-France,554251,,-7118589,7672839
2018-12,11,Ile-de-France,487069.285,0,-6761854.642,7248923.927
2018-12,28,Normandie,5064346.155,0,2251693.63,2812652.525
2018-12,52,Pays de la Loire,610003.409,0,-2127803.449,2737806.858
2018-12,93,Provence-Alpes-Côte d'Azur,1747004.023,3197.108,-2340273.931,4084080.846
2018-01,24,Centre-Val de Loire,7839441.815,0,5869475.586,1969966.229
2018-02,75,Nouvelle-Aquitaine,5514997.202,0,787245.904,4727751.298
2018-03,27,Bourgogne-Franche-Comté,421033.416,3043.514,-1765172.604,2183162.506
2018-03,53,Bretagne,486022.52,2390.843,-1928132.713,2411764.39
2018-03,76,Occitanie,4107535.647,187341.569,60763.006,3859431.072
2018-04,53,Bretagne,239067.883,3986.578,-1522531.398,1757612.703
2018-04,24,Centre-Val de Loire,6422737.73,0,5038695.414,1384042.316
2018-05,94,Corse,141906.307,0,-17396.678,159302.985
2018-05,32,Hauts-de-France,3243793.54,0,-439573.937,3683367.477
2018-05,76,Occitanie,3217095.814,211566.132,300229.398,2705300.284
2018-05,93,Provence-Alpes-Côte d'Azur,1624128.886,2274.495,-1247277.381,2869131.772
2018-06,11,Ile-de-France,128034.217,0,-4638178.782,4766212.999
2018-07,84,Auvergne-Rhône-Alpes,8874621.412,221027.204,3659766.742,4993827.466
2018-07,28,Normandie,5543072.758,0,3629132.016,1913940.742
2018-08,53,Bretagne,175408.536,5467.689,-1296742.959,1466683.806
2018-08,24,Centre-Val de Loire,6216431.716,0,4958291.607,1258140.109
2018-08,76,Occitanie,1811550.569,193698.811,-1222556.543,2840408.301
2018-08,93,Provence-Alpes-Côte d'Azur,1052616.197,41.44,-2070161.222,3122735.979
2018-09,11,Ile-de-France,120698.169,0,-4573810.302,4694508.471
2018-09,76,Occitanie,2537824.701,175591.13,-229748.648,2591982.219
2018-09,52,Pays de la Loire,408350.398,0,-1401956.882,1810307.28
2018-10,24,Centre-Val de Loire,5484346.421,0,4069472.036,1414874.385
2018-11,44,Grand-Est,10755123.73,47666.725,6487450.454,4220006.552
2018-11,32,Hauts-de-France,5123610.56,0,403083.8,4720526.76
2018-11,28,Normandie,4891311.796,0,2259182.173,2632129.623
2018-11,75,Nouvelle-Aquitaine,5275098.132,0,1250364.223,4024733.909
2014-01,11,Ile-de-France,455864,,-7156633,7612497
2014-01,93,Provence-Alpes-Côte d'Azur,1389407,5841,-2931415,4314981
2014-02,27,Bourgogne-Franche-Comté,238451,249,-1702372,1940574
2014-02,76,Occitanie,3670159,197476,5655,3467028
2014-03,11,Ile-de-France,406682,,-6102700,6509382
2014-03,75,Nouvelle-Aquitaine,5161682,,1168670,3993012
2014-03,76,Occitanie,3984405,186605,491205,3306595
2014-04,28,Normandie,5738821,,3569549,2169272
2014-04,44,Grand-Est,6509532,97896,2888533,3523103
2014-05,27,Bourgogne-Franche-Comté,138353,97,-1427473,1565729
2014-06,11,Ile-de-France,149171,,-4666061,4815232
2014-06,84,Auvergne-Rhône-Alpes,8705873,283238,3801077,4621558
2014-06,94,Corse,97657,,-50172,147829
2014-07,11,Ile-de-France,126150,,-4763016,4889166
2014-07,28,Normandie,6817216,,4916422,1900794
2014-07,52,Pays de la Loire,267275,,-1627516,1894791
2014-07,84,Auvergne-Rhône-Alpes,9473051,343954,4305144,4823953
2014-08,24,Centre-Val de Loire,5330657,,4160307,1170350
2014-09,28,Normandie,5686757,,3787456,1899301
2014-09,32,Hauts-de-France,2951652,,-831573,3783225
2014-09,52,Pays de la Loire,419359,,-1386937,1806296
2014-10,75,Nouvelle-Aquitaine,3333617,,183088,3150529
2014-10,84,Auvergne-Rhône-Alpes,9205664,364224,3755793,5085647
2014-11,28,Normandie,6253015,,3817160,2435855
2014-11,53,Bretagne,267772,4738,-1635965,1898999
2014-11,76,Occitanie,1845322,215376,-1310686,2940632
2014-11,84,Auvergne-Rhône-Alpes,9949854,396198,3909768,5643888
2014-12,84,Auvergne-Rhône-Alpes,10687025,324379,3657612,6705034
2014-12,93,Provence-Alpes-Côte d'Azur,1944834,2665,-2249348,4191517
2015-02,84,Auvergne-Rhône-Alpes,11739244,241496,4814387,6683361
