insee,com,annee,autres_btinf36_nb,autres_btinf36_puis,autres_btinf36_prod,autres_btsup36_nb,autres_btsup36_puis,autres_btsup36_prod,autres_hta_nb,autres_hta_puis,autres_hta_prod,bionrj_btinf36_nb,bionrj_btinf36_puis,bionrj_btinf36_prod,bionrj_btsup36_nb,bionrj_btsup36_puis,bionrj_btsup36_prod,bionrj_hta_nb,bionrj_hta_puis,bionrj_hta_prod,coge_btinf36_nb,coge_btinf36_puis,coge_btinf36_prod,coge_btsup36_nb,coge_btsup36_puis,coge_btsup36_prod,coge_hta_nb,coge_hta_puis,coge_hta_prod,eol_btinf36_nb,eol_btinf36_puis,eol_btinf36_prod,eol_btsup36_nb,eol_btsup36_puis,eol_btsup36_prod,eol_hta_nb,eol_hta_puis,eol_hta_prod,hyd_btinf36_nb,hyd_btinf36_puis,hyd_btinf36_prod,hyd_btsup36_nb,hyd_btsup36_puis,hyd_btsup36_prod,hyd_hta_nb,hyd_hta_puis,hyd_hta_prod,pv_btinf36_nb,pv_btinf36_puis,pv_btinf36_prod,pv_btsup36_nb,pv_btsup36_puis,pv_btsup36_prod,pv_hta_nb,pv_hta_puis,pv_hta_prod,secret
77373,Pontault-Combault,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,202,164841,,,,,,,
77374,Pontcarré,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,,,,,,,Photovoltaïque BTINF36
77376,Précy-sur-Marne,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,1,60,50276,,,,Photovoltaïque BTINF36
77377,Presles-en-Brie,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,0,,,,,,,Photovoltaïque BTINF36
77378,Pringy,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,41,38798,,,,,,,
77379,Provins,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,0,,,,,,,Photovoltaïque BTINF36
77380,Puisieux,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,Photovoltaïque BTINF36
77381,Quiers,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,35,23128,,,,,,,
77382,Quincy-Voisins,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,79,60891,,,,,,,
77383,Rampillon,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,Photovoltaïque BTINF36
77384,Réau,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,31,28683,,,,,,,
77385,Rebais,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,28,19975,,,,,,,
