,annee,consommation,consommation_normale,energie,epci,nom_epci,secteur
101,2005,11159.170000000002,11159.170000000002,PP_CMS,200033090,CC Plaines et Monts de France,AGR
102,2005,0.0,0.0,URB,200033090,CC Plaines et Monts de France,AGR
103,2005,0.0,0.0,BOIS,200033090,CC Plaines et Monts de France,AGR
104,2005,3400.53,3400.53,GN,200033090,CC Plaines et Monts de France,AGR
105,2005,21940.49,21940.49,ELEC,200033090,CC Plaines et Monts de France,IND
106,2005,14696.150000000001,14696.150000000001,PP_CMS,200033090,CC Plaines et Monts de France,IND
107,2005,0.0,0.0,URB,200033090,CC Plaines et Monts de France,IND
108,2005,0.0,0.0,BOIS,200033090,CC Plaines et Monts de France,IND
109,2005,109897.8,109897.8,GN,200033090,CC Plaines et Monts de France,IND
110,2005,76468.54,77304.04,ELEC,200033090,CC Plaines et Monts de France,RES
111,2005,34516.079999999994,35521.46,PP_CMS,200033090,CC Plaines et Monts de France,RES
112,2005,0.0,0.0,URB,200033090,CC Plaines et Monts de France,RES
113,2005,20257.239999999998,20933.86,BOIS,200033090,CC Plaines et Monts de France,RES
114,2005,58579.969999999994,60146.270000000004,GN,200033090,CC Plaines et Monts de France,RES
115,2005,34442.08,34606.02,ELEC,200033090,CC Plaines et Monts de France,TER
116,2005,2875.56,2943.5599999999995,PP_CMS,200033090,CC Plaines et Monts de France,TER
117,2005,0.0,0.0,URB,200033090,CC Plaines et Monts de France,TER
118,2005,0.0,0.0,BOIS,200033090,CC Plaines et Monts de France,TER
119,2005,3747.6,3850.61,GN,200033090,CC Plaines et Monts de France,TER
120,2005,0.0,0.0,ELEC,200033090,CC Plaines et Monts de France,TRAF
121,2005,310546.44999999995,310546.44999999995,PP_CMS,200033090,CC Plaines et Monts de France,TRAF
122,2005,0.0,0.0,URB,200033090,CC Plaines et Monts de France,TRAF
123,2005,0.0,0.0,BOIS,200033090,CC Plaines et Monts de France,TRAF
124,2005,0.0,0.0,GN,200033090,CC Plaines et Monts de France,TRAF
125,2005,3512.68,3512.68,ELEC,200037133,CC du Provinois,AGR
126,2005,43925.57999999998,43925.57999999998,PP_CMS,200037133,CC du Provinois,AGR
127,2005,0.0,0.0,URB,200037133,CC du Provinois,AGR
128,2005,0.0,0.0,BOIS,200037133,CC du Provinois,AGR
129,2005,1085.11,1085.11,GN,200037133,CC du Provinois,AGR
130,2005,31650.400000000005,31650.400000000005,ELEC,200037133,CC du Provinois,IND
131,2005,1534.35,1534.35,PP_CMS,200037133,CC du Provinois,IND
132,2005,0.0,0.0,URB,200037133,CC du Provinois,IND
133,2005,0.0,0.0,BOIS,200037133,CC du Provinois,IND
134,2005,22882.0,22882.0,GN,200037133,CC du Provinois,IND
135,2005,118083.44000000002,119227.70000000001,ELEC,200037133,CC du Provinois,RES
136,2005,101062.92,104081.68000000001,PP_CMS,200037133,CC du Provinois,RES
137,2005,0.0,0.0,URB,200037133,CC du Provinois,RES
138,2005,42058.229999999996,43463.06000000001,BOIS,200037133,CC du Provinois,RES
139,2005,98389.18000000001,100990.27,GN,200037133,CC du Provinois,RES
140,2005,35351.78000000001,35507.979999999996,ELEC,200037133,CC du Provinois,TER
141,2005,8926.859999999999,9145.759999999998,PP_CMS,200037133,CC du Provinois,TER
142,2005,0.0,0.0,URB,200037133,CC du Provinois,TER
143,2005,0.0,0.0,BOIS,200037133,CC du Provinois,TER
