secteur,annee,insee,commune,emission
Agriculture,2005,77454,Sognolles-en-Montois,0.7
Agriculture,2005,77455,Soignolles-en-Brie,0.5
Agriculture,2005,77456,Soisy-Bouy,0
Agriculture,2005,77457,Solers,0.5
Agriculture,2005,77458,Souppes-sur-Loing,2
Agriculture,2005,77459,Sourdun,1.8
Agriculture,2005,77460,Tancrou,1.2
Agriculture,2005,77461,Thénisy,0.8
Agriculture,2005,77462,Thieux,1
Agriculture,2005,77463,Thomery,0.1
Agriculture,2005,77464,Thorigny-sur-Marne,0.1
Agriculture,2005,77465,Thoury-Férottes,0.8
Agriculture,2005,77466,Tigeaux,0.2
Agriculture,2005,77467,La Tombe,0.6
Agriculture,2005,77468,Torcy,0
Agriculture,2005,77469,Touquin,0.8
Agriculture,2005,77470,Tournan-en-Brie,1.8
Agriculture,2005,77471,Tousson,2.1
Agriculture,2005,77472,La Trétoire,1.4
Agriculture,2005,77473,Treuzy-Levelay,0.4
Agriculture,2005,77474,Trilbardou,0.5
Agriculture,2005,77475,Trilport,0.5
Agriculture,2005,77476,Trocy-en-Multien,0.8
Agriculture,2005,77477,Ury,1.1
Agriculture,2005,77478,Ussy-sur-Marne,1.7
Agriculture,2005,77480,Valence-en-Brie,1.1
Agriculture,2005,77481,Vanvillé,0.6
Agriculture,2005,77482,Varennes-sur-Seine,0.8
Agriculture,2005,77483,Varreddes,0.7
Agriculture,2005,77484,Vaucourtois,0.2
Agriculture,2005,77485,Le Vaudoué,0.3
Agriculture,2005,77486,Vaudoy-en-Brie,3.5
Agriculture,2005,77487,Vaux-le-Pénil,1.1
Agriculture,2005,77489,Vaux-sur-Lunain,0.6
Agriculture,2005,77490,Vendrest,1.4
Agriculture,2005,77492,Verdelot,3.8
Agriculture,2005,77493,Verneuil-l'Étang,0.9
Agriculture,2005,77494,Vernou-la-Celle-sur-Seine,0.6
Agriculture,2005,77495,Vert-Saint-Denis,1.2
Agriculture,2005,77496,Vieux-Champagne,0.7
Agriculture,2005,77500,Villebéon,1.3
Agriculture,2005,77501,Villecerf,0.5
Agriculture,2005,77504,Villemaréchal,1.8
Agriculture,2005,77505,Villemareuil,0.9
Agriculture,2005,77506,Villemer,1.5
Agriculture,2005,77507,Villenauxe-la-Petite,2.3
Agriculture,2005,77508,Villeneuve-le-Comte,0.5
Agriculture,2005,77509,Villeneuve-les-Bordes,0.5
Agriculture,2005,77510,Villeneuve-Saint-Denis,0.3
Agriculture,2005,77511,Villeneuve-sous-Dammartin,1
Agriculture,2005,77512,Villeneuve-sur-Bellot,0.5
Agriculture,2005,77513,Villenoy,0.4
Agriculture,2005,77514,Villeparisis,0.3
Agriculture,2005,77515,Villeroy,1.1
Agriculture,2005,77516,Ville-Saint-Jacques,1.2
Agriculture,2005,77517,Villevaudé,0.3
Agriculture,2005,77518,Villiers-en-Bière,1
Agriculture,2005,77519,Villiers-Saint-Georges,5.4
Agriculture,2005,77520,Villiers-sous-Grez,0.2
Agriculture,2005,77521,Villiers-sur-Morin,0.2
Agriculture,2005,77522,Villiers-sur-Seine,0.9
Agriculture,2005,77523,Villuis,1
Agriculture,2005,77524,Vimpelles,1.3
Agriculture,2005,77525,Vinantes,0.8
Agriculture,2005,77526,Vincy-Man?uvre,1
Agriculture,2005,77527,Voinsles,3.1
Agriculture,2005,77528,Voisenon,0.4
Agriculture,2005,77529,Voulangis,1.1
Agriculture,2005,77530,Voulton,0
Agriculture,2005,77531,Voulx,1
Agriculture,2005,77532,Vulaines-lès-Provins,1.4
Agriculture,2005,77533,Vulaines-sur-Seine,0
Agriculture,2005,77534,Yèbles,0.7
Agriculture,2005,78003,Ablis,3.1
Agriculture,2005,78005,Achères,0.2
Agriculture,2005,78006,Adainville,0.3
Agriculture,2005,78007,Aigremont,0
Agriculture,2005,78009,Allainville,2.6
Agriculture,2005,78010,Les Alluets-le-Roi,1.5
Agriculture,2005,78013,Andelu,1.4
Agriculture,2005,78015,Andrésy,0
Agriculture,2005,78020,Arnouville-lès-Mantes,1.4
Agriculture,2005,78029,Aubergenville,0.3
Agriculture,2005,78030,Auffargis,1.5
Agriculture,2005,78033,Aulnay-sur-Mauldre,0.1
Agriculture,2005,78034,Auteuil,0.6
Agriculture,2005,78036,Autouillet,0.1
Agriculture,2005,78043,Bailly,0.5
Agriculture,2005,78048,Bazainville,0.9
Agriculture,2005,78049,Bazemont,0.3
Agriculture,2005,78050,Bazoches-sur-Guyonne,1
Agriculture,2005,78053,Béhoust,0.3
Agriculture,2005,78057,Bennecourt,0.7
Agriculture,2005,78062,Beynes,1
Agriculture,2005,78068,Blaru,1.7
Agriculture,2005,78070,Boinville-en-Mantois,0.3
Agriculture,2005,78071,Boinville-le-Gaillard,1
Agriculture,2005,78072,Boinvilliers,0.2
Agriculture,2005,78073,Bois-d'Arcy,0
Agriculture,2005,78076,Boissets,0.7
Agriculture,2005,78077,La Boissière-École,0.9
Agriculture,2005,78082,Boissy-Mauvoisin,0.9
Agriculture,2005,78084,Boissy-sans-Avoir,0.4
Agriculture,2005,78087,Bonnelles,1
Agriculture,2005,78089,Bonnières-sur-Seine,0.4
Agriculture,2005,78090,Bouafle,0.6
Agriculture,2005,78092,Bougival,0
Agriculture,2005,78096,Bourdonné,0.7
Agriculture,2005,78104,Breuil-Bois-Robert,0.3
Agriculture,2005,78107,Bréval,1
Agriculture,2005,78108,Les Bréviaires,1.1
Agriculture,2005,78113,Brueil-en-Vexin,0.2
Agriculture,2005,78117,Buc,0.1
Agriculture,2005,78118,Buchelay,0.3
Agriculture,2005,78120,Bullion,0.8
Agriculture,2005,78123,Carrières-sous-Poissy,0.1
Agriculture,2005,78124,Carrières-sur-Seine,0.6
Agriculture,2005,78125,La Celle-les-Bordes,1.3
Agriculture,2005,78126,La Celle-Saint-Cloud,0
Agriculture,2005,78128,Cernay-la-Ville,0.4
Agriculture,2005,78133,Chambourcy,0.3
Agriculture,2005,78138,Chanteloup-les-Vignes,0
